,epoch,train_loss,val_loss
0,1,7011.5183801651,0.0
1,2,6402.603139877319,0.0
2,3,6374.736248016357,0.0
3,4,6087.887496471405,0.0
4,5,5747.403221607208,0.0
5,6,5686.395154953003,0.0
6,7,5228.8125286102295,0.0
7,8,5051.728932857513,0.0
8,9,4773.473858356476,0.0
9,10,4614.341739654541,4550.405955791473
10,11,4407.371472358704,0.0
11,12,4304.913497924805,0.0
12,13,4206.212891101837,0.0
13,14,4099.799426794052,0.0
14,15,4007.2942032814026,0.0
15,16,3912.60827088356,0.0
16,17,3831.1445631980896,0.0
17,18,3767.5445811748505,0.0
18,19,3725.755121946335,0.0
19,20,3606.911057949066,3705.9746725559235
20,21,3568.2470412254333,0.0
21,22,3490.694929122925,0.0
22,23,3467.5307581424713,0.0
23,24,3430.5274567604065,0.0
24,25,3371.2379744052887,0.0
25,26,3342.189637899399,0.0
26,27,3290.1990072727203,0.0
27,28,3275.7054040431976,0.0
28,29,3204.397042274475,0.0
29,30,3177.098935842514,3247.0176866054535
30,31,3155.189719438553,0.0
31,32,3111.4169833660126,0.0
32,33,3078.709888458252,0.0
33,34,3076.0814900398254,0.0
34,35,2993.1037418842316,0.0
35,36,2996.1957638263702,0.0
36,37,2950.18328332901,0.0
37,38,2924.2339627742767,0.0
38,39,2933.9361889362335,0.0
39,40,2874.0211997032166,3132.2238116264343
40,41,2905.469400167465,0.0
41,42,2857.0801796913147,0.0
42,43,2835.460123062134,0.0
43,44,2791.924438238144,0.0
44,45,2789.293775320053,0.0
45,46,2761.3149173259735,0.0
46,47,2718.1823340654373,0.0
47,48,2714.6631920337677,0.0
48,49,2738.8269193172455,0.0
49,50,2678.796291589737,2941.2334082126617
50,51,2667.0617475509644,0.0
